season,week,celebrity_name,concentration
1,1,Evander Holyfield,0.1642948725322261
1,1,Joey McIntyre,0.23850904656445698
1,1,John O'Hurley,0.17009925074765375
1,1,Kelly Monaco,0.1945683295899744
1,1,Rachel Hunter,0.1628504148412438
1,1,Trista Sutter,0.22398947771748834
1,2,Evander Holyfield,0.1635652288753159
1,2,Joey McIntyre,0.1939022588434797
1,2,John O'Hurley,0.16281666068570974
1,2,Kelly Monaco,0.18541349029284487
1,2,Rachel Hunter,0.21312851362995344
1,2,Trista Sutter,0.10213961664705798
1,3,Evander Holyfield,0.21498130797933507
1,3,Joey McIntyre,0.26102587781452546
1,3,John O'Hurley,0.19747457458485673
1,3,Kelly Monaco,0.2237289392145094
1,3,Rachel Hunter,0.20509298324586955
1,4,Joey McIntyre,0.29168502139942354
1,4,John O'Hurley,0.16670446853701043
1,4,Kelly Monaco,0.2911520984185272
1,4,Rachel Hunter,0.09132356137642764
1,5,Joey McIntyre,0.2493227421364294
1,5,John O'Hurley,0.384551444203203
1,5,Kelly Monaco,0.2952677795183712
1,6,John O'Hurley,0.7108435358535199
1,6,Kelly Monaco,0.7108435358535198
2,1,Drew Lachey,0.12836768472440652
2,1,George Hamilton,0.11453029794823757
2,1,Giselle Fernandez,0.1280639336122532
2,1,Jerry Rice,0.12157087838364411
2,1,Kenny Mayne,0.10984669930964763
2,1,Lisa Rinna,0.11444775353489216
2,1,Master P,0.1269597197348835
2,1,Stacy Keibler,0.09685031870353904
2,1,Tatum O'Neal,0.12790420023963123
2,1,Tia Carrere,0.11447131989316706
2,2,Drew Lachey,0.11982313743983751
2,2,George Hamilton,0.11565816389045702
2,2,Giselle Fernandez,0.11845081198073049
2,2,Jerry Rice,0.1359741397345803
2,2,Lisa Rinna,0.14878154113626246
2,2,Master P,0.13453588285091755
2,2,Stacy Keibler,0.13475187311173925
2,2,Tatum O'Neal,0.12399550446699956
2,2,Tia Carrere,0.14571324321257745
2,3,Drew Lachey,0.13748013401190984
2,3,George Hamilton,0.1634135685501999
2,3,Giselle Fernandez,0.07802482795824225
2,3,Jerry Rice,0.1443269874468477
2,3,Lisa Rinna,0.1477895598147752
2,3,Master P,0.13062476987326987
2,3,Stacy Keibler,0.15090169808521509
2,3,Tia Carrere,0.16368798157732595
2,4,Drew Lachey,0.18333050488528566
2,4,George Hamilton,0.15113282836407074
2,4,Jerry Rice,0.1554960024006885
2,4,Lisa Rinna,0.15105335510603993
2,4,Master P,0.19192629230063177
2,4,Stacy Keibler,0.1467640918691146
2,4,Tia Carrere,0.16757567135833756
2,5,Drew Lachey,0.22354375000245832
2,5,George Hamilton,0.18370277230848836
2,5,Jerry Rice,0.19507948354710483
2,5,Lisa Rinna,0.2168824426201769
2,5,Stacy Keibler,0.15260593854876822
2,5,Tia Carrere,0.15097475207347577
2,6,Drew Lachey,0.23555587239990816
2,6,George Hamilton,0.1621945743496424
2,6,Jerry Rice,0.2513948553152524
2,6,Lisa Rinna,0.18113480557784312
2,6,Stacy Keibler,0.19777086859615978
2,7,Drew Lachey,0.24728475132191882
2,7,Jerry Rice,0.2612057650584949
2,7,Lisa Rinna,0.17312761819965194
2,7,Stacy Keibler,0.3316702908388589
2,8,Drew Lachey,0.28489023948852044
2,8,Jerry Rice,0.2498702072108518
2,8,Stacy Keibler,0.32300592634972525
3,1,Emmitt Smith,0.09777721239775498
3,1,Harry Hamlin,0.10676204840380475
3,1,Jerry Springer,0.118191940093172
3,1,Joey Lawrence,0.10489916405247501
3,1,Mario Lopez,0.09132980030922166
3,1,Monique Coleman,0.09007900863411647
3,1,Sara Evans,0.10655801216809885
3,1,Shanna Moakler,0.08551452219618125
3,1,Tucker Carlson,0.08188783302819441
3,1,Vivica A. Fox,0.08893658749527121
3,1,Willa Ford,0.09160371506747446
3,2,Emmitt Smith,0.08680832238578812
3,2,Harry Hamlin,0.11440772545234817
3,2,Jerry Springer,0.13858632003237348
3,2,Joey Lawrence,0.10574427255981927
3,2,Mario Lopez,0.09065797276609039
3,2,Monique Coleman,0.12036056398434747
3,2,Sara Evans,0.13739350622631025
3,2,Shanna Moakler,0.08165096016979159
3,2,Vivica A. Fox,0.11732922442226555
3,2,Willa Ford,0.12000103025639752
3,3,Emmitt Smith,0.10746303644624872
3,3,Harry Hamlin,0.09066309713955148
3,3,Jerry Springer,0.12960108817720076
3,3,Joey Lawrence,0.1177978620787759
3,3,Mario Lopez,0.0956326652575101
3,3,Monique Coleman,0.12258419652685926
3,3,Sara Evans,0.1216804890321803
3,3,Vivica A. Fox,0.11930958221074382
3,3,Willa Ford,0.13613797958485913
3,4,Emmitt Smith,0.11867071865421903
3,4,Jerry Springer,0.1372999455590287
3,4,Joey Lawrence,0.14083430998422203
3,4,Mario Lopez,0.14053897132382837
3,4,Monique Coleman,0.15308037777060854
3,4,Sara Evans,0.10114977672452008
3,4,Vivica A. Fox,0.10040237854952683
3,4,Willa Ford,0.11750779340001458
3,5,Emmitt Smith,0.1337320248681092
3,5,Jerry Springer,0.13451708552042746
3,5,Joey Lawrence,0.1654493326827341
3,5,Mario Lopez,0.12290598825808653
3,5,Monique Coleman,0.16231240774612746
3,5,Sara Evans,0.18836307918910755
3,5,Willa Ford,0.18250822210674938
3,6,Emmitt Smith,0.13755503835958421
3,6,Jerry Springer,0.20424190455231384
3,6,Joey Lawrence,0.2040718347987302
3,6,Mario Lopez,0.2915169400477128
3,6,Monique Coleman,0.21556761448538203
3,7,Emmitt Smith,0.131669492934402
3,7,Jerry Springer,0.1610427005211067
3,7,Joey Lawrence,0.2047958130150021
3,7,Mario Lopez,0.20688218708638056
3,7,Monique Coleman,0.18600560852069078
3,8,Emmitt Smith,0.20192845454945846
3,8,Joey Lawrence,0.1625125703608142
3,8,Mario Lopez,0.27430035857799884
3,8,Monique Coleman,0.1340394259291921
3,9,Emmitt Smith,0.22061788898340007
3,9,Joey Lawrence,0.17637826813243418
3,9,Mario Lopez,0.21950853882509966
3,10,Emmitt Smith,0.23456969901425018
3,10,Mario Lopez,0.23456969901425018
4,1,Apolo Anton Ohno,0.0
4,1,Billy Ray Cyrus,0.0
4,1,Clyde Drexler,0.0
4,1,Heather Mills,0.0
4,1,Ian Ziering,0.0
4,1,Joey Fatone,0.0
4,1,John Ratzenberger,0.0
4,1,Laila Ali,0.0
4,1,Leeza Gibbons,0.0
4,1,Paulina Porizkova,0.0
4,1,Shandi Finnessey,0.0
4,2,Apolo Anton Ohno,0.0
4,2,Billy Ray Cyrus,0.0
4,2,Clyde Drexler,0.0
4,2,Heather Mills,0.0
4,2,Ian Ziering,0.0
4,2,Joey Fatone,0.0
4,2,John Ratzenberger,0.0
4,2,Laila Ali,0.0
4,2,Leeza Gibbons,0.0
4,2,Paulina Porizkova,0.0
4,2,Shandi Finnessey,0.0
4,3,Apolo Anton Ohno,0.0
4,3,Billy Ray Cyrus,0.0
4,3,Clyde Drexler,0.0
4,3,Heather Mills,0.0
4,3,Ian Ziering,0.0
4,3,Joey Fatone,0.0
4,3,John Ratzenberger,0.0
4,3,Laila Ali,0.0
4,3,Leeza Gibbons,0.0
4,3,Shandi Finnessey,0.0
4,4,Apolo Anton Ohno,0.0
4,4,Billy Ray Cyrus,0.0
4,4,Clyde Drexler,0.0
4,4,Heather Mills,0.0
4,4,Ian Ziering,0.0
4,4,Joey Fatone,0.0
4,4,John Ratzenberger,0.0
4,4,Laila Ali,0.0
4,4,Leeza Gibbons,0.0
4,5,Apolo Anton Ohno,0.0
4,5,Billy Ray Cyrus,0.0
4,5,Clyde Drexler,0.0
4,5,Heather Mills,0.0
4,5,Ian Ziering,0.0
4,5,Joey Fatone,0.0
4,5,John Ratzenberger,0.0
4,5,Laila Ali,0.0
4,6,Apolo Anton Ohno,0.0
4,6,Billy Ray Cyrus,0.0
4,6,Heather Mills,0.0
4,6,Ian Ziering,0.0
4,6,Joey Fatone,0.0
4,6,John Ratzenberger,0.0
4,6,Laila Ali,0.0
4,7,Apolo Anton Ohno,0.0
4,7,Billy Ray Cyrus,0.0
4,7,Ian Ziering,0.0
4,7,Joey Fatone,0.0
4,7,John Ratzenberger,0.0
4,7,Laila Ali,0.0
4,8,Apolo Anton Ohno,0.0
4,8,Billy Ray Cyrus,0.0
4,8,Ian Ziering,0.0
4,8,Joey Fatone,0.0
4,8,Laila Ali,0.0
4,9,Apolo Anton Ohno,0.0
4,9,Ian Ziering,0.0
4,9,Joey Fatone,0.0
4,9,Laila Ali,0.0
4,10,Apolo Anton Ohno,0.0
4,10,Joey Fatone,0.0
4,10,Laila Ali,0.0
5,1,Albert Reed,0.06312601655714764
5,1,Cameron Mathison,0.08054547977168107
5,1,Floyd Mayweather Jr. ,0.07172636911510565
5,1,Helio Castroneves,0.07538342716625931
5,1,Jane Seymour,0.06602553430406241
5,1,Jennie Garth,0.06483153968619752
5,1,Josie Maran,0.07918207498712757
5,1,Marie Osmond,0.0598706096610821
5,1,Mark Cuban,0.05930492767447885
5,1,Mel B,0.05548072489979508
5,1,Sabrina Bryan,0.06396355475660642
5,1,Wayne Newton,0.07689644009608462
5,2,Albert Reed,0.06839750934638829
5,2,Cameron Mathison,0.07370992319521705
5,2,Floyd Mayweather Jr. ,0.09104289537393806
5,2,Helio Castroneves,0.08787540647419746
5,2,Jane Seymour,0.07527161411784465
5,2,Jennie Garth,0.06324300196593349
5,2,Marie Osmond,0.07485550571753918
5,2,Mark Cuban,0.06837971708163557
5,2,Mel B,0.07709497185125941
5,2,Sabrina Bryan,0.0738001741655351
5,2,Wayne Newton,0.07397375739908661
5,3,Cameron Mathison,0.08191153403724769
5,3,Floyd Mayweather Jr. ,0.08787509863409226
5,3,Helio Castroneves,0.0679918085171621
5,3,Jane Seymour,0.08710465781120075
5,3,Jennie Garth,0.07453376539920525
5,3,Marie Osmond,0.05868146003766007
5,3,Mark Cuban,0.07771961817194545
5,3,Mel B,0.0749189300033766
5,3,Sabrina Bryan,0.07416388433441475
5,3,Wayne Newton,0.08464572649840738
5,4,Cameron Mathison,0.07646962433232708
5,4,Floyd Mayweather Jr. ,0.08950238306170072
5,4,Helio Castroneves,0.08062966893224266
5,4,Jane Seymour,0.08886953820202077
5,4,Jennie Garth,0.11730092710779212
5,4,Marie Osmond,0.08099533792941215
5,4,Mark Cuban,0.09398967827582944
5,4,Mel B,0.08305598179815984
5,4,Sabrina Bryan,0.11119093688890877
5,5,Cameron Mathison,0.10998537147934492
5,5,Helio Castroneves,0.08662301983088173
5,5,Jane Seymour,0.09514426229662057
5,5,Jennie Garth,0.07387108274519036
5,5,Marie Osmond,0.087791611644946
5,5,Mark Cuban,0.0966341052425905
5,5,Mel B,0.09420082264209749
5,5,Sabrina Bryan,0.10485760519344131
5,6,Cameron Mathison,0.10954147590099983
5,6,Helio Castroneves,0.11233683271183979
5,6,Jane Seymour,0.11801868413570646
5,6,Jennie Garth,0.13524521272933002
5,6,Marie Osmond,0.10309191798706994
5,6,Mel B,0.10296153829164327
5,6,Sabrina Bryan,0.09014970841026787
5,7,Cameron Mathison,0.1354955594507637
5,7,Helio Castroneves,0.11828783150445482
5,7,Jane Seymour,0.1557355972564731
5,7,Jennie Garth,0.1470795684620585
5,7,Marie Osmond,0.14647561947668863
5,7,Mel B,0.13848312488214876
5,8,Cameron Mathison,0.22786438644354792
5,8,Helio Castroneves,0.12612552853849363
5,8,Jennie Garth,0.13212276681846863
5,8,Marie Osmond,0.15688036999894006
5,8,Mel B,0.12651024064889577
5,9,Helio Castroneves,0.16907267690657196
5,9,Jennie Garth,0.13408900380651279
5,9,Marie Osmond,0.13079524805751538
5,9,Mel B,0.15931193830345713
5,10,Helio Castroneves,0.2896794168756176
5,10,Marie Osmond,0.24589457464547299
5,10,Mel B,0.27139403524746847
6,1,Adam Carolla,0.0
6,1,Cristian de la Fuente,0.0
6,1,Jason Taylor,0.0
6,1,Kristi Yamaguchi,0.0
6,1,Mario,0.0
6,1,Marissa Jaret Winokur,0.0
6,1,Marlee Matlin,0.0
6,1,Monica Seles,0.0
6,1,Penn Jillette,0.0
6,1,Priscilla Presley,0.0
6,1,Shannon Elizabeth,0.0
6,1,Steve Guttenberg,0.0
6,2,Adam Carolla,0.0
6,2,Cristian de la Fuente,0.0
6,2,Jason Taylor,0.0
6,2,Kristi Yamaguchi,0.0
6,2,Mario,0.0
6,2,Marissa Jaret Winokur,0.0
6,2,Marlee Matlin,0.0
6,2,Monica Seles,0.0
6,2,Penn Jillette,0.0
6,2,Priscilla Presley,0.0
6,2,Shannon Elizabeth,0.0
6,2,Steve Guttenberg,0.0
6,3,Adam Carolla,0.0
6,3,Cristian de la Fuente,0.0
6,3,Jason Taylor,0.0
6,3,Kristi Yamaguchi,0.0
6,3,Mario,0.0
6,3,Marissa Jaret Winokur,0.0
6,3,Marlee Matlin,0.0
6,3,Priscilla Presley,0.0
6,3,Shannon Elizabeth,0.0
6,3,Steve Guttenberg,0.0
6,4,Adam Carolla,0.0
6,4,Cristian de la Fuente,0.0
6,4,Jason Taylor,0.0
6,4,Kristi Yamaguchi,0.0
6,4,Mario,0.0
6,4,Marissa Jaret Winokur,0.0
6,4,Marlee Matlin,0.0
6,4,Priscilla Presley,0.0
6,4,Shannon Elizabeth,0.0
6,5,Cristian de la Fuente,0.0
6,5,Jason Taylor,0.0
6,5,Kristi Yamaguchi,0.0
6,5,Mario,0.0
6,5,Marissa Jaret Winokur,0.0
6,5,Marlee Matlin,0.0
6,5,Priscilla Presley,0.0
6,5,Shannon Elizabeth,0.0
6,6,Cristian de la Fuente,0.0
6,6,Jason Taylor,0.0
6,6,Kristi Yamaguchi,0.0
6,6,Mario,0.0
6,6,Marissa Jaret Winokur,0.0
6,6,Marlee Matlin,0.0
6,6,Shannon Elizabeth,0.0
6,7,Cristian de la Fuente,0.0
6,7,Jason Taylor,0.0
6,7,Kristi Yamaguchi,0.0
6,7,Mario,0.0
6,7,Marissa Jaret Winokur,0.0
6,7,Shannon Elizabeth,0.0
6,8,Cristian de la Fuente,0.0
6,8,Jason Taylor,0.0
6,8,Kristi Yamaguchi,0.0
6,8,Mario,0.0
6,8,Marissa Jaret Winokur,0.0
6,9,Cristian de la Fuente,0.0
6,9,Jason Taylor,0.0
6,9,Kristi Yamaguchi,0.0
6,9,Marissa Jaret Winokur,0.0
6,10,Cristian de la Fuente,0.0
6,10,Jason Taylor,0.0
6,10,Kristi Yamaguchi,0.0
7,1,Brooke Burke,0.0
7,1,Cloris Leachman,0.0
7,1,Cody Linley,0.0
7,1,Jeffrey Ross,0.0
7,1,Kim Kardashian,0.0
7,1,Lance Bass,0.0
7,1,Maurice Greene,0.0
7,1,Misty May-Treanor,0.0
7,1,Rocco DiSpirito,0.0
7,1,Susan Lucci,0.0
7,1,Ted McGinley,0.0
7,1,Toni Braxton,0.0
7,1,Warren Sapp,0.0
7,2,Brooke Burke,0.0
7,2,Cloris Leachman,0.0
7,2,Cody Linley,0.0
7,2,Kim Kardashian,0.0
7,2,Lance Bass,0.0
7,2,Maurice Greene,0.0
7,2,Misty May-Treanor,0.0
7,2,Rocco DiSpirito,0.0
7,2,Susan Lucci,0.0
7,2,Toni Braxton,0.0
7,2,Warren Sapp,0.0
7,3,Brooke Burke,0.0
7,3,Cloris Leachman,0.0
7,3,Cody Linley,0.0
7,3,Lance Bass,0.0
7,3,Maurice Greene,0.0
7,3,Rocco DiSpirito,0.0
7,3,Susan Lucci,0.0
7,3,Toni Braxton,0.0
7,3,Warren Sapp,0.0
7,4,Brooke Burke,0.0
7,4,Cloris Leachman,0.0
7,4,Cody Linley,0.0
7,4,Lance Bass,0.0
7,4,Maurice Greene,0.0
7,4,Rocco DiSpirito,0.0
7,4,Susan Lucci,0.0
7,4,Toni Braxton,0.0
7,4,Warren Sapp,0.0
7,5,Brooke Burke,0.0
7,5,Cloris Leachman,0.0
7,5,Cody Linley,0.0
7,5,Lance Bass,0.0
7,5,Maurice Greene,0.0
7,5,Susan Lucci,0.0
7,5,Toni Braxton,0.0
