season,week,celebrity_name,judge_percent,judge_rank,eliminated_this_week,estimated_fan_vote_share,rule_type
1,1,Joey McIntyre,0.183,1,0,0.19117990902153498,S1-2_rank
1,1,John O'Hurley,0.183,1,0,0.18420009985184238,S1-2_rank
1,1,Rachel Hunter,0.183,1,0,0.14502504021185397,S1-2_rank
1,1,Evander Holyfield,0.165,4,0,0.17825943245351358,S1-2_rank
1,1,Trista Sutter,0.165,4,0,0.11713540630222857,S1-2_rank
1,1,Kelly Monaco,0.119,6,0,0.18420011215902654,S1-2_rank
1,2,John O'Hurley,0.215,1,0,0.18992843129312909,S1-2_rank
1,2,Rachel Hunter,0.198,2,0,0.1387975391483271,S1-2_rank
1,2,Joey McIntyre,0.174,3,0,0.19876784308300702,S1-2_rank
1,2,Trista Sutter,0.157,4,1,0.10022912952296324,S1-2_rank
1,2,Kelly Monaco,0.14,5,0,0.1899284373155447,S1-2_rank
1,2,Evander Holyfield,0.116,6,0,0.18234861963702886,S1-2_rank
1,3,Rachel Hunter,0.245,1,0,0.14125637843708638,S1-2_rank
1,3,John O'Hurley,0.226,2,0,0.2239112366487869,S1-2_rank
1,3,Joey McIntyre,0.208,3,0,0.2371655021409098,S1-2_rank
1,3,Kelly Monaco,0.198,4,0,0.22391123137230354,S1-2_rank
1,3,Evander Holyfield,0.123,5,1,0.17375565140091342,S1-2_rank
1,4,Kelly Monaco,0.283,1,0,0.2791669758959248,S1-2_rank
1,4,Rachel Hunter,0.272,2,1,0.14195450263499237,S1-2_rank
1,4,John O'Hurley,0.228,3,0,0.2791669983343196,S1-2_rank
1,4,Joey McIntyre,0.217,4,0,0.2997115231347632,S1-2_rank
1,5,John O'Hurley,0.37,1,0,0.3659718893152155,S1-2_rank
1,5,Kelly Monaco,0.322,2,0,0.3659718655402639,S1-2_rank
1,5,Joey McIntyre,0.308,3,1,0.26805624514452053,S1-2_rank
1,6,Kelly Monaco,0.505,1,0,0.49999999539348416,S1-2_rank
1,6,John O'Hurley,0.495,2,0,0.500000004606516,S1-2_rank
2,1,Drew Lachey,0.123,1,0,0.10610361826792715,S1-2_rank
2,1,Giselle Fernandez,0.118,2,0,0.08470181240691786,S1-2_rank
2,1,Tatum O'Neal,0.118,2,0,0.09258040975555223,S1-2_rank
2,1,Stacy Keibler,0.113,4,0,0.10610362888260871,S1-2_rank
2,1,Jerry Rice,0.108,5,0,0.10610362800500536,S1-2_rank
2,1,Tia Carrere,0.103,6,0,0.10070186036507442,S1-2_rank
2,1,Lisa Rinna,0.097,7,0,0.10253094692518946,S1-2_rank
2,1,George Hamilton,0.092,8,0,0.10174311217426732,S1-2_rank
2,1,Kenny Mayne,0.067,9,1,0.08412206277061357,S1-2_rank
2,1,Master P,0.062,10,0,0.11530892044684404,S1-2_rank
2,2,Stacy Keibler,0.145,1,0,0.11771100959882115,S1-2_rank
2,2,Drew Lachey,0.135,2,0,0.11771100191726695,S1-2_rank
2,2,Giselle Fernandez,0.12,3,0,0.08504523097580118,S1-2_rank
2,2,Jerry Rice,0.115,4,0,0.1177110079589525,S1-2_rank
2,2,George Hamilton,0.11,5,0,0.1112522487288511,S1-2_rank
2,2,Tia Carrere,0.11,5,0,0.10969665586935666,S1-2_rank
2,2,Lisa Rinna,0.1,7,0,0.11242575206331981,S1-2_rank
2,2,Tatum O'Neal,0.085,8,1,0.09737086401490229,S1-2_rank
2,2,Master P,0.08,9,0,0.1310762288727284,S1-2_rank
2,3,Drew Lachey,0.148,1,0,0.13401321613652115,S1-2_rank
2,3,Stacy Keibler,0.148,1,0,0.13401322191053608,S1-2_rank
2,3,Tia Carrere,0.143,3,0,0.11986061858971325,S1-2_rank
2,3,Lisa Rinna,0.137,4,0,0.12471842209044993,S1-2_rank
2,3,George Hamilton,0.121,5,0,0.12263459673738096,S1-2_rank
2,3,Giselle Fernandez,0.121,5,1,0.07383101221673763,S1-2_rank
2,3,Jerry Rice,0.104,7,0,0.13401322125676518,S1-2_rank
2,3,Master P,0.077,8,0,0.1569156910618959,S1-2_rank
2,4,Drew Lachey,0.177,1,0,0.1535041449722562,S1-2_rank
2,4,Lisa Rinna,0.165,2,0,0.13578594860969753,S1-2_rank
2,4,Stacy Keibler,0.165,2,0,0.15350414365203302,S1-2_rank
2,4,Tia Carrere,0.158,4,0,0.12636362124594436,S1-2_rank
2,4,Jerry Rice,0.152,5,0,0.15350414742814536,S1-2_rank
2,4,George Hamilton,0.133,6,0,0.13175771979096057,S1-2_rank
2,4,Master P,0.051,7,1,0.1455802743009631,S1-2_rank
2,5,Stacy Keibler,0.199,1,0,0.18698048877828938,S1-2_rank
2,5,Drew Lachey,0.179,2,0,0.18698050768766453,S1-2_rank
2,5,Lisa Rinna,0.166,3,0,0.15470651083237397,S1-2_rank
2,5,George Hamilton,0.159,4,0,0.14722812523463052,S1-2_rank
2,5,Jerry Rice,0.152,5,0,0.18698050275004058,S1-2_rank
2,5,Tia Carrere,0.146,6,1,0.1371238647170008,S1-2_rank
2,6,Drew Lachey,0.226,1,0,0.22520259709228002,S1-2_rank
2,6,Stacy Keibler,0.226,1,0,0.22520256038755876,S1-2_rank
2,6,Lisa Rinna,0.203,3,0,0.16889906857362694,S1-2_rank
2,6,George Hamilton,0.173,4,1,0.15549320340095707,S1-2_rank
2,6,Jerry Rice,0.173,4,0,0.2252025705455772,S1-2_rank
2,7,Drew Lachey,0.27,1,0,0.27367952686364805,S1-2_rank
2,7,Stacy Keibler,0.27,1,0,0.273679486158243,S1-2_rank
2,7,Lisa Rinna,0.26,3,1,0.1789615089213646,S1-2_rank
2,7,Jerry Rice,0.201,4,0,0.2736794780567443,S1-2_rank
2,8,Drew Lachey,0.344,1,0,0.3333333699837746,S1-2_rank
2,8,Stacy Keibler,0.34,2,0,0.33333333057766845,S1-2_rank
2,8,Jerry Rice,0.316,3,0,0.3333332994385569,S1-2_rank
3,1,Mario Lopez,0.123,1,0,0.09704788351089419,S3-27_percent
3,1,Emmitt Smith,0.113,2,0,0.09704739285153023,S3-27_percent
3,1,Vivica A. Fox,0.104,3,0,0.08851550905957192,S3-27_percent
3,1,Willa Ford,0.104,3,0,0.09025058088071508,S3-27_percent
3,1,Joey Lawrence,0.099,5,0,0.09443148466600783,S3-27_percent
3,1,Monique Coleman,0.09,6,0,0.09409363716144996,S3-27_percent
3,1,Shanna Moakler,0.085,7,0,0.0854312276099397,S3-27_percent
3,1,Harry Hamlin,0.08,8,0,0.08870268691132685,S3-27_percent
3,1,Jerry Springer,0.075,9,0,0.09377295948443086,S3-27_percent
3,1,Sara Evans,0.071,10,0,0.09204630913531639,S3-27_percent
3,1,Tucker Carlson,0.057,11,1,0.07866032872881701,S3-27_percent
3,2,Joey Lawrence,0.126,1,0,0.10356835786999935,S3-27_percent
3,2,Monique Coleman,0.113,2,0,0.10305149870074773,S3-27_percent
3,2,Emmitt Smith,0.104,3,0,0.10755109497410453,S3-27_percent
