season,week,celebrity_name,judge_percent,judge_rank,eliminated_this_week,estimated_fan_vote_share,rule_type,in_pred_bottom2,fan_rank_from_P,final_score_or_metric,final_rank,pred_eliminated_flag
1,1,Joey McIntyre,0.183,1,0,0.1911799090215349,S1-2_rank,0,1.0,2.0,1,0
1,1,John O'Hurley,0.183,1,0,0.1842000998518423,S1-2_rank,0,3.0,4.0,2,0
1,1,Rachel Hunter,0.183,1,0,0.1450250402118539,S1-2_rank,0,5.0,6.0,3,0
1,1,Evander Holyfield,0.165,4,0,0.1782594324535135,S1-2_rank,0,4.0,8.0,4,0
1,1,Trista Sutter,0.165,4,0,0.1171354063022285,S1-2_rank,0,6.0,10.0,6,1
1,1,Kelly Monaco,0.119,6,0,0.1842001121590265,S1-2_rank,0,2.0,8.0,4,0
1,2,John O'Hurley,0.215,1,0,0.189928431293129,S1-2_rank,0,3.0,4.0,1,0
1,2,Rachel Hunter,0.198,2,0,0.1387975391483271,S1-2_rank,0,5.0,7.0,3,0
1,2,Joey McIntyre,0.174,3,0,0.198767843083007,S1-2_rank,0,1.0,4.0,1,0
1,2,Trista Sutter,0.157,4,1,0.1002291295229632,S1-2_rank,0,6.0,10.0,5,1
1,2,Kelly Monaco,0.14,5,0,0.1899284373155447,S1-2_rank,0,2.0,7.0,3,0
1,2,Evander Holyfield,0.116,6,0,0.1823486196370288,S1-2_rank,0,4.0,10.0,5,0
1,3,Rachel Hunter,0.245,1,0,0.1412563784370863,S1-2_rank,0,5.0,6.0,3,0
1,3,John O'Hurley,0.226,2,0,0.2239112366487869,S1-2_rank,0,2.0,4.0,1,0
1,3,Joey McIntyre,0.208,3,0,0.2371655021409098,S1-2_rank,0,1.0,4.0,1,0
1,3,Kelly Monaco,0.198,4,0,0.2239112313723035,S1-2_rank,0,3.0,7.0,4,0
1,3,Evander Holyfield,0.123,5,1,0.1737556514009134,S1-2_rank,0,4.0,9.0,5,1
1,4,Kelly Monaco,0.283,1,0,0.2791669758959248,S1-2_rank,0,3.0,4.0,1,0
1,4,Rachel Hunter,0.272,2,1,0.1419545026349923,S1-2_rank,0,4.0,6.0,4,1
1,4,John O'Hurley,0.228,3,0,0.2791669983343196,S1-2_rank,0,2.0,5.0,2,0
1,4,Joey McIntyre,0.217,4,0,0.2997115231347632,S1-2_rank,0,1.0,5.0,2,0
1,5,John O'Hurley,0.37,1,0,0.3659718893152155,S1-2_rank,0,1.0,2.0,1,0
1,5,Kelly Monaco,0.322,2,0,0.3659718655402639,S1-2_rank,0,2.0,4.0,2,0
1,5,Joey McIntyre,0.308,3,1,0.2680562451445205,S1-2_rank,0,3.0,6.0,3,1
1,6,Kelly Monaco,0.505,1,0,0.4999999953934841,S1-2_rank,0,2.0,3.0,1,1
1,6,John O'Hurley,0.495,2,0,0.500000004606516,S1-2_rank,0,1.0,3.0,1,0
2,1,Drew Lachey,0.123,1,0,0.1061036182679271,S1-2_rank,0,4.0,5.0,1,0
2,1,Giselle Fernandez,0.118,2,0,0.0847018124069178,S1-2_rank,0,9.0,11.0,5,0
2,1,Tatum O'Neal,0.118,2,0,0.0925804097555522,S1-2_rank,0,8.0,10.0,4,0
2,1,Stacy Keibler,0.113,4,0,0.1061036288826087,S1-2_rank,0,2.0,6.0,2,0
2,1,Jerry Rice,0.108,5,0,0.1061036280050053,S1-2_rank,0,3.0,8.0,3,0
2,1,Tia Carrere,0.103,6,0,0.1007018603650744,S1-2_rank,0,7.0,13.0,8,0
2,1,Lisa Rinna,0.097,7,0,0.1025309469251894,S1-2_rank,0,5.0,12.0,7,0
2,1,George Hamilton,0.092,8,0,0.1017431121742673,S1-2_rank,0,6.0,14.0,9,0
2,1,Kenny Mayne,0.067,9,1,0.0841220627706135,S1-2_rank,0,10.0,19.0,10,1
2,1,Master P,0.062,10,0,0.115308920446844,S1-2_rank,0,1.0,11.0,5,0
2,2,Stacy Keibler,0.145,1,0,0.1177110095988211,S1-2_rank,0,2.0,3.0,1,0
2,2,Drew Lachey,0.135,2,0,0.1177110019172669,S1-2_rank,0,4.0,6.0,2,0
2,2,Giselle Fernandez,0.12,3,0,0.0850452309758011,S1-2_rank,0,9.0,12.0,6,0
2,2,Jerry Rice,0.115,4,0,0.1177110079589525,S1-2_rank,0,3.0,7.0,3,0
2,2,George Hamilton,0.11,5,0,0.1112522487288511,S1-2_rank,0,6.0,11.0,5,0
2,2,Tia Carrere,0.11,5,0,0.1096966558693566,S1-2_rank,0,7.0,12.0,6,0
2,2,Lisa Rinna,0.1,7,0,0.1124257520633198,S1-2_rank,0,5.0,12.0,6,0
2,2,Tatum O'Neal,0.085,8,1,0.0973708640149022,S1-2_rank,0,8.0,16.0,9,1
2,2,Master P,0.08,9,0,0.1310762288727284,S1-2_rank,0,1.0,10.0,4,0
2,3,Drew Lachey,0.148,1,0,0.1340132161365211,S1-2_rank,0,4.0,5.0,2,0
2,3,Stacy Keibler,0.148,1,0,0.134013221910536,S1-2_rank,0,2.0,3.0,1,0
2,3,Tia Carrere,0.143,3,0,0.1198606185897132,S1-2_rank,0,7.0,10.0,5,0
2,3,Lisa Rinna,0.137,4,0,0.1247184220904499,S1-2_rank,0,5.0,9.0,3,0
2,3,George Hamilton,0.121,5,0,0.1226345967373809,S1-2_rank,0,6.0,11.0,7,0
2,3,Giselle Fernandez,0.121,5,1,0.0738310122167376,S1-2_rank,0,8.0,13.0,8,1
2,3,Jerry Rice,0.104,7,0,0.1340132212567651,S1-2_rank,0,3.0,10.0,5,0
2,3,Master P,0.077,8,0,0.1569156910618959,S1-2_rank,0,1.0,9.0,3,0
2,4,Drew Lachey,0.177,1,0,0.1535041449722562,S1-2_rank,0,2.0,3.0,1,0
2,4,Lisa Rinna,0.165,2,0,0.1357859486096975,S1-2_rank,0,5.0,7.0,4,0
2,4,Stacy Keibler,0.165,2,0,0.153504143652033,S1-2_rank,0,3.0,5.0,2,0
2,4,Tia Carrere,0.158,4,0,0.1263636212459443,S1-2_rank,0,7.0,11.0,5,0
2,4,Jerry Rice,0.152,5,0,0.1535041474281453,S1-2_rank,0,1.0,6.0,3,0
2,4,George Hamilton,0.133,6,0,0.1317577197909605,S1-2_rank,0,6.0,12.0,7,1
2,4,Master P,0.051,7,1,0.1455802743009631,S1-2_rank,0,4.0,11.0,5,0
2,5,Stacy Keibler,0.199,1,0,0.1869804887782893,S1-2_rank,0,3.0,4.0,2,0
2,5,Drew Lachey,0.179,2,0,0.1869805076876645,S1-2_rank,0,1.0,3.0,1,0
2,5,Lisa Rinna,0.166,3,0,0.1547065108323739,S1-2_rank,0,4.0,7.0,3,0
2,5,George Hamilton,0.159,4,0,0.1472281252346305,S1-2_rank,0,5.0,9.0,5,0
2,5,Jerry Rice,0.152,5,0,0.1869805027500405,S1-2_rank,0,2.0,7.0,3,0
2,5,Tia Carrere,0.146,6,1,0.1371238647170008,S1-2_rank,0,6.0,12.0,6,1
2,6,Drew Lachey,0.226,1,0,0.22520259709228,S1-2_rank,0,1.0,2.0,1,0
2,6,Stacy Keibler,0.226,1,0,0.2252025603875587,S1-2_rank,0,3.0,4.0,2,0
2,6,Lisa Rinna,0.203,3,0,0.1688990685736269,S1-2_rank,0,4.0,7.0,4,0
2,6,George Hamilton,0.173,4,1,0.155493203400957,S1-2_rank,0,5.0,9.0,5,1
2,6,Jerry Rice,0.173,4,0,0.2252025705455772,S1-2_rank,0,2.0,6.0,3,0
2,7,Drew Lachey,0.27,1,0,0.273679526863648,S1-2_rank,0,1.0,2.0,1,0
2,7,Stacy Keibler,0.27,1,0,0.273679486158243,S1-2_rank,0,2.0,3.0,2,0
2,7,Lisa Rinna,0.26,3,1,0.1789615089213646,S1-2_rank,0,4.0,7.0,3,1
2,7,Jerry Rice,0.201,4,0,0.2736794780567443,S1-2_rank,0,3.0,7.0,3,0
2,8,Drew Lachey,0.344,1,0,0.3333333699837746,S1-2_rank,0,1.0,2.0,1,0
2,8,Stacy Keibler,0.34,2,0,0.3333333305776684,S1-2_rank,0,2.0,4.0,2,0
2,8,Jerry Rice,0.316,3,0,0.3333332994385569,S1-2_rank,0,3.0,6.0,3,1
3,1,Mario Lopez,0.123,1,0,0.0970478835108941,S3-27_percent,0,,0.2200478835108941,1,0
3,1,Emmitt Smith,0.113,2,0,0.0970473928515302,S3-27_percent,0,,0.2100473928515302,2,0
3,1,Vivica A. Fox,0.104,3,0,0.0885155090595719,S3-27_percent,0,,0.19251550905957188,5,0
3,1,Willa Ford,0.104,3,0,0.090250580880715,S3-27_percent,0,,0.194250580880715,3,0
3,1,Joey Lawrence,0.099,5,0,0.0944314846660078,S3-27_percent,0,,0.1934314846660078,4,0
3,1,Monique Coleman,0.09,6,0,0.0940936371614499,S3-27_percent,0,,0.18409363716144989,6,0
3,1,Shanna Moakler,0.085,7,0,0.0854312276099397,S3-27_percent,0,,0.1704312276099397,7,0
3,1,Harry Hamlin,0.08,8,0,0.0887026869113268,S3-27_percent,0,,0.16870268691132678,9,0
3,1,Jerry Springer,0.075,9,0,0.0937729594844308,S3-27_percent,0,,0.1687729594844308,8,0
3,1,Sara Evans,0.071,10,0,0.0920463091353163,S3-27_percent,0,,0.16304630913531631,10,0
3,1,Tucker Carlson,0.057,11,1,0.078660328728817,S3-27_percent,0,,0.135660328728817,11,1
3,2,Joey Lawrence,0.126,1,0,0.1035683578699993,S3-27_percent,0,,0.2295683578699993,1,0
3,2,Monique Coleman,0.113,2,0,0.1030514987007477,S3-27_percent,0,,0.2160514987007477,2,0
3,2,Emmitt Smith,0.104,3,0,0.1075510949741045,S3-27_percent,0,,0.21155109497410451,3,0
3,2,Vivica A. Fox,0.104,3,0,0.0944180035048953,S3-27_percent,0,,0.1984180035048953,5,0
3,2,Willa Ford,0.1,5,0,0.097123756302402,S3-27_percent,0,,0.197123756302402,6,0
3,2,Shanna Moakler,0.096,6,1,0.0895602700110929,S3-27_percent,0,,0.1855602700110929,9,1
3,2,Harry Hamlin,0.091,7,0,0.0947108233109769,S3-27_percent,0,,0.18571082331097688,8,0
3,2,Mario Lopez,0.091,7,0,0.1075511657487067,S3-27_percent,0,,0.19855116574870668,4,0
3,2,Sara Evans,0.091,7,0,0.0999047595659814,S3-27_percent,0,,0.1909047595659814,7,0
3,2,Jerry Springer,0.083,10,0,0.1025602700110929,S3-27_percent,0,,0.1855602700110929,9,0
3,3,Monique Coleman,0.13,1,0,0.114683678976784,S3-27_percent,0,,0.244683678976784,1,0
3,3,Vivica A. Fox,0.13,1,0,0.0986190367641869,S3-27_percent,0,,0.2286190367641869,4,0
3,3,Sara Evans,0.121,3,0,0.1088863042389045,S3-27_percent,0,,0.2298863042389045,2,0
3,3,Harry Hamlin,0.106,4,1,0.0991731364660126,S3-27_percent,0,,0.2051731364660126,9,1
3,3,Joey Lawrence,0.106,4,0,0.1156297670635907,S3-27_percent,0,,0.2216297670635907,5,0
3,3,Mario Lopez,0.106,4,0,0.1228655147606159,S3-27_percent,0,,0.2288655147606159,3,0
3,3,Willa Ford,0.106,4,0,0.1037082678299258,S3-27_percent,0,,0.2097082678299258,8,0
3,3,Jerry Springer,0.101,8,0,0.1135688451233516,S3-27_percent,0,,0.21456884512335161,7,0
3,3,Emmitt Smith,0.092,9,0,0.1228654487766276,S3-27_percent,0,,0.2148654487766276,6,0
3,4,Mario Lopez,0.146,1,0,0.1444294680647861,S3-27_percent,0,,0.2904294680647861,1,0
3,4,Willa Ford,0.141,2,0,0.1080666292402076,S3-27_percent,0,,0.2490666292402076,5,0
3,4,Joey Lawrence,0.136,3,0,0.130905274828103,S3-27_percent,0,,0.266905274828103,2,0
3,4,Emmitt Smith,0.121,4,0,0.144429248045066,S3-27_percent,0,,0.26542924804506596,3,0
3,4,Monique Coleman,0.121,4,0,0.1291201401110792,S3-27_percent,0,,0.2501201401110792,4,0
3,4,Vivica A. Fox,0.121,4,1,0.0980779912953045,S3-27_percent,0,,0.2190779912953045,8,1
3,4,Jerry Springer,0.111,7,0,0.1268932571201486,S3-27_percent,0,,0.23789325712014858,6,0
3,4,Sara Evans,0.101,8,0,0.1180779912953046,S3-27_percent,0,,0.21907799129530459,7,0
3,5,Emmitt Smith,0.149,1,0,0.1734706748220216,S3-27_percent,0,,0.32247067482202163,2,0
3,5,Mario Lopez,0.149,1,0,0.1734707929802115,S3-27_percent,0,,0.32247079298021153,1,0
3,5,Monique Coleman,0.149,1,0,0.1454317368289842,S3-27_percent,0,,0.29443173682898416,3,0
3,5,Willa Ford,0.149,1,1,0.1054013571041507,S3-27_percent,0,,0.2544013571041507,6,0
3,5,Joey Lawrence,0.138,5,0,0.1487425002621444,S3-27_percent,0,,0.28674250026214443,4,0
3,5,Jerry Springer,0.133,6,0,0.141222551182501,S3-27_percent,0,,0.274222551182501,5,0
3,5,Sara Evans,0.133,6,1,0.1122603868199861,S3-27_percent,0,,0.2452603868199861,7,1
3,6,Mario Lopez,0.237,1,0,0.2300895663988274,S3-27_percent,0,,0.46708956639882737,1,0
3,6,Emmitt Smith,0.212,2,0,0.230089658553941,S3-27_percent,0,,0.442089658553941,2,0
3,6,Joey Lawrence,0.203,3,0,0.1864686522310523,S3-27_percent,0,,0.3894686522310523,3,0
