season,week,celebrity_name,judge_percent,judge_rank,eliminated_this_week,rule_type,p_min,p_max,min_ok,max_ok
1,1,Joey McIntyre,0.183,1,0,S1-2_rank,0.0,1.0,1,1
1,1,John O'Hurley,0.183,1,0,S1-2_rank,0.0,1.0,1,1
1,1,Rachel Hunter,0.183,1,0,S1-2_rank,0.0,1.0,1,1
1,1,Evander Holyfield,0.165,4,0,S1-2_rank,0.0,1.0,1,1
1,1,Trista Sutter,0.165,4,0,S1-2_rank,0.0,1.0,1,1
1,1,Kelly Monaco,0.119,6,0,S1-2_rank,0.0,1.0,1,1
1,2,John O'Hurley,0.215,1,0,S1-2_rank,0.0,0.8523642898048964,1,1
1,2,Rachel Hunter,0.198,2,0,S1-2_rank,1.3877787807814457e-16,0.8523642898079067,1,1
1,2,Joey McIntyre,0.174,3,0,S1-2_rank,0.0,0.8523642898111424,1,1
1,2,Trista Sutter,0.157,4,1,S1-2_rank,0.0,0.19223608366490957,1,1
1,2,Kelly Monaco,0.14,5,0,S1-2_rank,0.0447010430125472,0.8901387876759711,1,1
1,2,Evander Holyfield,0.116,6,0,S1-2_rank,0.09105070479271987,0.9576351072860078,1,1
1,3,Rachel Hunter,0.245,1,0,S1-2_rank,0.0,1.0,1,1
1,3,John O'Hurley,0.226,2,0,S1-2_rank,8.326672684688674e-17,1.0,1,1
1,3,Joey McIntyre,0.208,3,0,S1-2_rank,8.326672684688674e-17,1.0,1,1
1,3,Kelly Monaco,0.198,4,0,S1-2_rank,0.0,1.0,1,1
1,3,Evander Holyfield,0.123,5,1,S1-2_rank,8.326672684688674e-17,0.44789455398371464,1,1
1,4,Kelly Monaco,0.283,1,0,S1-2_rank,0.0,0.4713225341024476,1,1
1,4,Rachel Hunter,0.272,2,1,S1-2_rank,0.0,0.19506874095625126,1,1
1,4,John O'Hurley,0.228,3,0,S1-2_rank,0.18730852325633346,0.4999818441473228,1,1
1,4,Joey McIntyre,0.217,4,0,S1-2_rank,0.299702974187399,0.9195281093336212,1,1
1,5,John O'Hurley,0.37,1,0,S1-2_rank,5.551115123125783e-16,0.9999999999999946,1,1
1,5,Kelly Monaco,0.322,2,0,S1-2_rank,7.216449660063518e-16,0.9999999999999958,1,1
1,5,Joey McIntyre,0.308,3,1,S1-2_rank,0.0,0.6782458706662927,1,1
1,6,Kelly Monaco,0.505,1,0,S1-2_rank,0.0,1.0,1,1
1,6,John O'Hurley,0.495,2,0,S1-2_rank,0.0,1.0,1,1
2,1,Drew Lachey,0.123,1,0,S1-2_rank,0.0,0.9774007438725764,1,1
2,1,Giselle Fernandez,0.118,2,0,S1-2_rank,0.0,0.9774007438561285,1,1
2,1,Tatum O'Neal,0.118,2,0,S1-2_rank,0.0,0.9774007438561183,1,1
