season,week,celebrity_name,judge_percent,judge_rank,fan_vote_percent,fan_vote_rank,total_percent,total_rank
1,1,Joey McIntyre,0.183,1,0.191,1,0.374,2
1,1,John O'Hurley,0.183,1,0.184,3,0.367,4
1,1,Rachel Hunter,0.183,1,0.145,5,0.328,6
1,1,Evander Holyfield,0.165,4,0.178,4,0.343,8
1,1,Trista Sutter,0.165,4,0.117,6,0.282,10
1,1,Kelly Monaco,0.119,6,0.184,2,0.303,8
1,2,John O'Hurley,0.215,1,0.19,3,0.405,4
1,2,Rachel Hunter,0.198,2,0.139,5,0.337,7
1,2,Joey McIntyre,0.174,3,0.199,1,0.373,4
1,2,Trista Sutter,0.157,4,0.1,6,0.257,10
1,2,Kelly Monaco,0.14,5,0.19,2,0.33,7
1,2,Evander Holyfield,0.116,6,0.182,4,0.298,10
1,3,Rachel Hunter,0.245,1,0.141,5,0.386,6
1,3,John O'Hurley,0.226,2,0.224,2,0.45,4
1,3,Joey McIntyre,0.208,3,0.237,1,0.445,4
1,3,Kelly Monaco,0.198,4,0.224,3,0.422,7
1,3,Evander Holyfield,0.123,5,0.174,4,0.297,9
1,4,Kelly Monaco,0.283,1,0.279,3,0.562,4
1,4,Rachel Hunter,0.272,2,0.142,4,0.414,6
1,4,John O'Hurley,0.228,3,0.279,2,0.507,5
1,4,Joey McIntyre,0.217,4,0.3,1,0.517,5
1,5,John O'Hurley,0.37,1,0.366,1,0.736,2
1,5,Kelly Monaco,0.322,2,0.366,2,0.688,4
1,5,Joey McIntyre,0.308,3,0.268,3,0.576,6
1,6,Kelly Monaco,0.505,1,0.5,2,1.005,3
1,6,John O'Hurley,0.495,2,0.5,1,0.995,3
2,1,Drew Lachey,0.123,1,0.106,4,0.229,5
2,1,Giselle Fernandez,0.118,2,0.085,9,0.203,11
2,1,Tatum O'Neal,0.118,2,0.093,8,0.211,10
2,1,Stacy Keibler,0.113,4,0.106,2,0.219,6
2,1,Jerry Rice,0.108,5,0.106,3,0.214,8
2,1,Tia Carrere,0.103,6,0.101,7,0.204,13
2,1,Lisa Rinna,0.097,7,0.103,5,0.2,12
2,1,George Hamilton,0.092,8,0.102,6,0.194,14
2,1,Kenny Mayne,0.067,9,0.084,10,0.151,19
2,1,Master P,0.062,10,0.115,1,0.177,11
2,2,Stacy Keibler,0.145,1,0.118,2,0.263,3
2,2,Drew Lachey,0.135,2,0.118,4,0.253,6
2,2,Giselle Fernandez,0.12,3,0.085,9,0.205,12
2,2,Jerry Rice,0.115,4,0.118,3,0.233,7
2,2,George Hamilton,0.11,5,0.111,6,0.221,11
2,2,Tia Carrere,0.11,5,0.11,7,0.22,12
2,2,Lisa Rinna,0.1,7,0.112,5,0.212,12
2,2,Tatum O'Neal,0.085,8,0.097,8,0.182,16
2,2,Master P,0.08,9,0.131,1,0.211,10
2,3,Drew Lachey,0.148,1,0.134,4,0.282,5
2,3,Stacy Keibler,0.148,1,0.134,2,0.282,3
2,3,Tia Carrere,0.143,3,0.12,7,0.263,10
2,3,Lisa Rinna,0.137,4,0.125,5,0.262,9
2,3,George Hamilton,0.121,5,0.123,6,0.244,11
2,3,Giselle Fernandez,0.121,5,0.074,8,0.195,13
