season,week,celebrity_name,judge_percent,judge_rank,eliminated_this_week
1,1,Joey McIntyre,0.183,1,0
1,1,John O'Hurley,0.183,1,0
1,1,Rachel Hunter,0.183,1,0
1,1,Evander Holyfield,0.165,4,0
1,1,Trista Sutter,0.165,4,0
1,1,Kelly Monaco,0.119,6,0
1,2,John O'Hurley,0.215,1,0
1,2,Rachel Hunter,0.198,2,0
1,2,Joey McIntyre,0.174,3,0
1,2,Trista Sutter,0.157,4,1
1,2,Kelly Monaco,0.14,5,0
1,2,Evander Holyfield,0.116,6,0
1,3,Rachel Hunter,0.245,1,0
1,3,John O'Hurley,0.226,2,0
1,3,Joey McIntyre,0.208,3,0
1,3,Kelly Monaco,0.198,4,0
1,3,Evander Holyfield,0.123,5,1
1,4,Kelly Monaco,0.283,1,0
1,4,Rachel Hunter,0.272,2,1
1,4,John O'Hurley,0.228,3,0
1,4,Joey McIntyre,0.217,4,0
1,5,John O'Hurley,0.37,1,0
1,5,Kelly Monaco,0.322,2,0
1,5,Joey McIntyre,0.308,3,1
1,6,Kelly Monaco,0.505,1,0
1,6,John O'Hurley,0.495,2,0
2,1,Drew Lachey,0.123,1,0
2,1,Giselle Fernandez,0.118,2,0
2,1,Tatum O'Neal,0.118,2,0
2,1,Stacy Keibler,0.113,4,0
2,1,Jerry Rice,0.108,5,0
2,1,Tia Carrere,0.103,6,0
2,1,Lisa Rinna,0.097,7,0
2,1,George Hamilton,0.092,8,0
2,1,Kenny Mayne,0.067,9,1
2,1,Master P,0.062,10,0
2,2,Stacy Keibler,0.145,1,0
2,2,Drew Lachey,0.135,2,0
2,2,Giselle Fernandez,0.12,3,0
2,2,Jerry Rice,0.115,4,0
2,2,George Hamilton,0.11,5,0
2,2,Tia Carrere,0.11,5,0
2,2,Lisa Rinna,0.1,7,0
2,2,Tatum O'Neal,0.085,8,1
2,2,Master P,0.08,9,0
2,3,Drew Lachey,0.148,1,0
2,3,Stacy Keibler,0.148,1,0
2,3,Tia Carrere,0.143,3,0
2,3,Lisa Rinna,0.137,4,0
2,3,George Hamilton,0.121,5,0
2,3,Giselle Fernandez,0.121,5,1
2,3,Jerry Rice,0.104,7,0
2,3,Master P,0.077,8,0
2,4,Drew Lachey,0.177,1,0
2,4,Lisa Rinna,0.165,2,0
2,4,Stacy Keibler,0.165,2,0
2,4,Tia Carrere,0.158,4,0
2,4,Jerry Rice,0.152,5,0
2,4,George Hamilton,0.133,6,0
2,4,Master P,0.051,7,1
2,5,Stacy Keibler,0.199,1,0
2,5,Drew Lachey,0.179,2,0
2,5,Lisa Rinna,0.166,3,0
2,5,George Hamilton,0.159,4,0
2,5,Jerry Rice,0.152,5,0
2,5,Tia Carrere,0.146,6,1
2,6,Drew Lachey,0.226,1,0
2,6,Stacy Keibler,0.226,1,0
2,6,Lisa Rinna,0.203,3,0
2,6,George Hamilton,0.173,4,1
2,6,Jerry Rice,0.173,4,0
2,7,Drew Lachey,0.27,1,0
2,7,Stacy Keibler,0.27,1,0
2,7,Lisa Rinna,0.26,3,1
2,7,Jerry Rice,0.201,4,0
2,8,Drew Lachey,0.344,1,0
2,8,Stacy Keibler,0.34,2,0
2,8,Jerry Rice,0.316,3,0
3,1,Mario Lopez,0.123,1,0
3,1,Emmitt Smith,0.113,2,0
3,1,Vivica A. Fox,0.104,3,0
3,1,Willa Ford,0.104,3,0
3,1,Joey Lawrence,0.099,5,0
3,1,Monique Coleman,0.09,6,0
3,1,Shanna Moakler,0.085,7,0
3,1,Harry Hamlin,0.08,8,0
3,1,Jerry Springer,0.075,9,0
3,1,Sara Evans,0.071,10,0
3,1,Tucker Carlson,0.057,11,1
3,2,Joey Lawrence,0.126,1,0
3,2,Monique Coleman,0.113,2,0
3,2,Emmitt Smith,0.104,3,0
3,2,Vivica A. Fox,0.104,3,0
3,2,Willa Ford,0.1,5,0
3,2,Shanna Moakler,0.096,6,1
3,2,Harry Hamlin,0.091,7,0
3,2,Mario Lopez,0.091,7,0
3,2,Sara Evans,0.091,7,0
3,2,Jerry Springer,0.083,10,0
3,3,Monique Coleman,0.13,1,0
3,3,Vivica A. Fox,0.13,1,0
3,3,Sara Evans,0.121,3,0
3,3,Harry Hamlin,0.106,4,1
3,3,Joey Lawrence,0.106,4,0
3,3,Mario Lopez,0.106,4,0
3,3,Willa Ford,0.106,4,0
3,3,Jerry Springer,0.101,8,0
3,3,Emmitt Smith,0.092,9,0
3,4,Mario Lopez,0.146,1,0
3,4,Willa Ford,0.141,2,0
3,4,Joey Lawrence,0.136,3,0
3,4,Emmitt Smith,0.121,4,0
3,4,Monique Coleman,0.121,4,0
3,4,Vivica A. Fox,0.121,4,1
3,4,Jerry Springer,0.111,7,0
3,4,Sara Evans,0.101,8,0
3,5,Emmitt Smith,0.149,1,0
3,5,Mario Lopez,0.149,1,0
3,5,Monique Coleman,0.149,1,0
3,5,Willa Ford,0.149,1,1
3,5,Joey Lawrence,0.138,5,0
3,5,Jerry Springer,0.133,6,0
3,5,Sara Evans,0.133,6,1
3,6,Mario Lopez,0.237,1,0
3,6,Emmitt Smith,0.212,2,0
3,6,Joey Lawrence,0.203,3,0
3,6,Monique Coleman,0.195,4,0
3,6,Jerry Springer,0.153,5,0
3,7,Emmitt Smith,0.211,1,0
3,7,Joey Lawrence,0.211,1,0
3,7,Mario Lopez,0.207,3,0
3,7,Monique Coleman,0.2,4,0
3,7,Jerry Springer,0.17,5,1
3,8,Mario Lopez,0.261,1,0
3,8,Emmitt Smith,0.248,2,0
3,8,Joey Lawrence,0.248,2,0
3,8,Monique Coleman,0.243,4,1
3,9,Emmitt Smith,0.333,1,0
3,9,Joey Lawrence,0.333,1,1
3,9,Mario Lopez,0.333,1,0
3,10,Emmitt Smith,0.5,1,0
3,10,Mario Lopez,0.5,1,0
4,1,Joey Fatone,0.117,1,0
4,1,Laila Ali,0.112,2,0
4,1,Apolo Anton Ohno,0.102,3,0
4,1,Ian Ziering,0.102,3,0
4,1,Paulina Porizkova,0.092,5,0
4,1,Shandi Finnessey,0.092,5,0
4,1,Heather Mills,0.087,7,0
4,1,John Ratzenberger,0.083,8,0
4,1,Clyde Drexler,0.078,9,0
4,1,Leeza Gibbons,0.073,10,0
4,1,Billy Ray Cyrus,0.063,11,0
4,2,Laila Ali,0.11,1,0
4,2,Apolo Anton Ohno,0.106,2,0
4,2,Heather Mills,0.098,3,0
4,2,Joey Fatone,0.098,3,0
4,2,Ian Ziering,0.09,5,0
4,2,Billy Ray Cyrus,0.086,6,0
4,2,John Ratzenberger,0.086,6,0
4,2,Leeza Gibbons,0.086,6,0
4,2,Paulina Porizkova,0.086,6,1
4,2,Shandi Finnessey,0.082,10,0
4,2,Clyde Drexler,0.073,11,0
4,3,Heather Mills,0.11,1,0
4,3,Ian Ziering,0.11,1,0
4,3,Joey Fatone,0.11,1,0
4,3,Leeza Gibbons,0.11,1,0
4,3,Apolo Anton Ohno,0.106,5,0
4,3,Billy Ray Cyrus,0.096,6,0
4,3,Laila Ali,0.096,6,0
4,3,Shandi Finnessey,0.096,6,1
4,3,John Ratzenberger,0.092,9,0
4,3,Clyde Drexler,0.073,10,0
4,4,Joey Fatone,0.147,1,0
4,4,Apolo Anton Ohno,0.137,2,0
4,4,Ian Ziering,0.126,3,0
4,4,Heather Mills,0.121,4,0
4,4,Billy Ray Cyrus,0.111,5,0
4,4,Laila Ali,0.111,5,0
4,4,John Ratzenberger,0.084,7,0
4,4,Leeza Gibbons,0.084,7,1
4,4,Clyde Drexler,0.079,9,0
4,5,Apolo Anton Ohno,0.17,1,0
4,5,Laila Ali,0.159,2,0
4,5,Joey Fatone,0.142,3,0
4,5,Ian Ziering,0.136,4,0
4,5,Heather Mills,0.119,5,0
4,5,John Ratzenberger,0.102,6,0
4,5,Billy Ray Cyrus,0.097,7,0
4,5,Clyde Drexler,0.074,8,1
4,6,Apolo Anton Ohno,0.165,1,0
4,6,Laila Ali,0.165,1,0
4,6,Joey Fatone,0.159,3,0
4,6,Ian Ziering,0.141,4,0
4,6,Heather Mills,0.135,5,1
4,6,Billy Ray Cyrus,0.124,6,0
4,6,John Ratzenberger,0.112,7,0
4,7,Joey Fatone,0.191,1,0
4,7,Laila Ali,0.191,1,0
4,7,Apolo Anton Ohno,0.175,3,0
4,7,Ian Ziering,0.175,3,0
4,7,John Ratzenberger,0.146,5,1
4,7,Billy Ray Cyrus,0.123,6,0
4,8,Apolo Anton Ohno,0.231,1,0
4,8,Joey Fatone,0.219,2,0
4,8,Laila Ali,0.211,3,0
4,8,Ian Ziering,0.187,4,0
4,8,Billy Ray Cyrus,0.151,5,1
4,9,Joey Fatone,0.253,1,0
4,9,Laila Ali,0.253,1,0
4,9,Apolo Anton Ohno,0.249,3,0
4,9,Ian Ziering,0.245,4,1
4,10,Apolo Anton Ohno,0.34,1,0
4,10,Joey Fatone,0.332,2,0
4,10,Laila Ali,0.328,3,0
5,1,Sabrina Bryan,0.101,1,0
5,1,Helio Castroneves,0.097,2,0
5,1,Jane Seymour,0.093,3,0
5,1,Mel B,0.093,3,0
5,1,Albert Reed,0.082,5,0
5,1,Cameron Mathison,0.082,5,0
5,1,Jennie Garth,0.082,5,0
5,1,Marie Osmond,0.082,5,0
5,1,Mark Cuban,0.082,5,0
5,1,Wayne Newton,0.074,10,0
5,1,Floyd Mayweather Jr. ,0.07,11,0
5,1,Josie Maran,0.062,12,1
5,2,Helio Castroneves,0.113,1,0
5,2,Sabrina Bryan,0.109,2,0
