season,week,celebrity_name,judge_percent,judge_rank,fan_vote_percent,fan_vote_rank,total_percent,total_rank
2,1,Drew Lachey,0.123,1,0.106,4,0.229,5
2,1,Giselle Fernandez,0.118,2,0.085,9,0.203,11
2,1,Tatum O'Neal,0.118,2,0.093,8,0.211,10
2,1,Stacy Keibler,0.113,4,0.106,2,0.219,6
2,1,Jerry Rice,0.108,5,0.106,3,0.214,8
2,1,Tia Carrere,0.103,6,0.101,7,0.204,13
2,1,Lisa Rinna,0.097,7,0.103,5,0.2,12
2,1,George Hamilton,0.092,8,0.102,6,0.194,14
2,1,Kenny Mayne,0.067,9,0.084,10,0.151,19
2,1,Master P,0.062,10,0.115,1,0.177,11
2,2,Stacy Keibler,0.145,1,0.118,2,0.263,3
2,2,Drew Lachey,0.135,2,0.118,4,0.253,6
2,2,Giselle Fernandez,0.12,3,0.085,9,0.205,12
2,2,Jerry Rice,0.115,4,0.118,3,0.233,7
2,2,George Hamilton,0.11,5,0.111,6,0.221,11
2,2,Tia Carrere,0.11,5,0.11,7,0.22,12
2,2,Lisa Rinna,0.1,7,0.112,5,0.212,12
2,2,Tatum O'Neal,0.085,8,0.097,8,0.182,16
2,2,Master P,0.08,9,0.131,1,0.211,10
2,3,Drew Lachey,0.148,1,0.134,4,0.282,5
2,3,Stacy Keibler,0.148,1,0.134,2,0.282,3
2,3,Tia Carrere,0.143,3,0.12,7,0.263,10
2,3,Lisa Rinna,0.137,4,0.125,5,0.262,9
2,3,George Hamilton,0.121,5,0.123,6,0.244,11
2,3,Giselle Fernandez,0.121,5,0.074,8,0.195,13
2,3,Jerry Rice,0.104,7,0.134,3,0.238,10
2,3,Master P,0.077,8,0.157,1,0.234,9
2,4,Drew Lachey,0.177,1,0.154,2,0.331,3
2,4,Lisa Rinna,0.165,2,0.136,5,0.301,7
2,4,Stacy Keibler,0.165,2,0.154,3,0.319,5
2,4,Tia Carrere,0.158,4,0.126,7,0.284,11
2,4,Jerry Rice,0.152,5,0.154,1,0.306,6
2,4,George Hamilton,0.133,6,0.132,6,0.265,12
2,4,Master P,0.051,7,0.146,4,0.197,11
2,5,Stacy Keibler,0.199,1,0.187,3,0.386,4
2,5,Drew Lachey,0.179,2,0.187,1,0.366,3
2,5,Lisa Rinna,0.166,3,0.155,4,0.321,7
2,5,George Hamilton,0.159,4,0.147,5,0.306,9
2,5,Jerry Rice,0.152,5,0.187,2,0.339,7
2,5,Tia Carrere,0.146,6,0.137,6,0.283,12
2,6,Drew Lachey,0.226,1,0.225,1,0.451,2
2,6,Stacy Keibler,0.226,1,0.225,3,0.451,4
2,6,Lisa Rinna,0.203,3,0.169,4,0.372,7
2,6,George Hamilton,0.173,4,0.155,5,0.328,9
2,6,Jerry Rice,0.173,4,0.225,2,0.398,6
2,7,Drew Lachey,0.27,1,0.274,1,0.544,2
2,7,Stacy Keibler,0.27,1,0.274,2,0.544,3
2,7,Lisa Rinna,0.26,3,0.179,4,0.439,7
2,7,Jerry Rice,0.201,4,0.274,3,0.475,7
2,8,Drew Lachey,0.344,1,0.333,1,0.677,2
2,8,Stacy Keibler,0.34,2,0.333,2,0.673,4
2,8,Jerry Rice,0.316,3,0.333,3,0.649,6
4,1,Joey Fatone,0.117,1,0.093,4,0.21,5
4,1,Laila Ali,0.112,2,0.093,3,0.205,5
4,1,Apolo Anton Ohno,0.102,3,0.093,2,0.195,5
4,1,Ian Ziering,0.102,3,0.092,6,0.194,9
4,1,Paulina Porizkova,0.092,5,0.084,11,0.176,16
4,1,Shandi Finnessey,0.092,5,0.087,10,0.179,15
4,1,Heather Mills,0.087,7,0.091,8,0.178,15
4,1,John Ratzenberger,0.083,8,0.092,7,0.175,15
4,1,Clyde Drexler,0.078,9,0.093,1,0.171,10
4,1,Leeza Gibbons,0.073,10,0.09,9,0.163,19
4,1,Billy Ray Cyrus,0.063,11,0.092,5,0.155,16
4,2,Laila Ali,0.11,1,0.094,3,0.204,4
4,2,Apolo Anton Ohno,0.106,2,0.094,2,0.2,4
4,2,Heather Mills,0.098,3,0.091,8,0.189,11
4,2,Joey Fatone,0.098,3,0.094,4,0.192,7
4,2,Ian Ziering,0.09,5,0.093,6,0.183,11
4,2,Billy Ray Cyrus,0.086,6,0.093,5,0.179,11
4,2,John Ratzenberger,0.086,6,0.092,7,0.178,13
4,2,Leeza Gibbons,0.086,6,0.089,9,0.175,15
4,2,Paulina Porizkova,0.086,6,0.08,11,0.166,17
4,2,Shandi Finnessey,0.082,10,0.084,10,0.166,20
4,2,Clyde Drexler,0.073,11,0.095,1,0.168,12
4,3,Heather Mills,0.11,1,0.098,8,0.208,9
4,3,Ian Ziering,0.11,1,0.102,6,0.212,7
4,3,Joey Fatone,0.11,1,0.105,4,0.215,5
4,3,Leeza Gibbons,0.11,1,0.095,9,0.205,10
4,3,Apolo Anton Ohno,0.106,5,0.105,2,0.211,7
4,3,Billy Ray Cyrus,0.096,6,0.102,5,0.198,11
4,3,Laila Ali,0.096,6,0.105,3,0.201,9
4,3,Shandi Finnessey,0.096,6,0.083,10,0.179,16
4,3,John Ratzenberger,0.092,9,0.101,7,0.193,16
