season,week,n_w,omega,tauCJ_rank,tauCF_rank,BI_rank,tauCJ_percent,tauCF_percent,BI_percent,judge_fan_identical,xpos
2,4,7,21,0.6499999999999999,0.5855400437691199,-0.0322299781154399,0.7807200583588265,0.4285714285714286,-0.1760743148936989,False,0
3,3,9,36,0.4140043409440133,0.3429971702850176,-0.0355035853294978,0.5413902920037097,0.2286647801900117,-0.1563627559068489,False,1
3,4,8,28,0.6667948594698258,0.7412493166611012,0.0372272285956377,0.6158402871356008,0.7637626158259734,0.0739611643451862,False,2
4,1,11,55,0.6344412685745154,0.5449492609130661,-0.0447460038307246,0.9446064278852112,0.1636363636363636,-0.3904850321244237,False,3
4,2,11,55,0.7276068751089989,0.6608480480431908,-0.033379413532904,0.8445997664172652,0.5137830903923016,-0.1654083380124817,False,4
4,6,7,21,0.8783100656536799,0.8095238095238096,-0.0343931280649351,0.8720815992723808,0.85106449634699,-0.0105085514626954,False,5
5,2,11,55,0.6757246285173463,0.5741725345968929,-0.0507760469602266,0.8600131635675315,0.3889555879527339,-0.2355287878073988,False,6
5,6,7,21,0.8499999999999999,0.7807200583588265,-0.0346399708205866,0.7499999999999999,0.8783100656536799,0.0641550328268399,False,7
6,1,12,66,0.7842258895889879,0.67700320038633,-0.0536113446013289,0.9298547766256364,0.5151515151515151,-0.2073516307370606,False,8
6,8,5,10,0.7378647873726218,0.5270462766947299,-0.1054092553389459,0.6,0.6,0.0,False,9
7,3,9,36,0.7826908981308053,0.7042952122737639,-0.0391978429285206,0.9566222088265398,0.5352643613280604,-0.2106789237492397,False,10
7,5,8,28,0.6923076923076924,0.5929994533288809,-0.0496541194894057,0.667124384994991,0.5714285714285714,-0.0478479067832098,False,11
8,1,13,78,0.5695489135379687,0.6234292001593572,0.0269401433106942,0.9271726499455306,0.2597621667330655,-0.3337052416062325,False,12
8,5,9,36,0.6857142857142857,0.7042952122737639,0.009290463279739,0.7999999999999999,0.5916079783099616,-0.1041960108450191,False,13
9,1,16,120,0.8620689655172415,0.8645309671165333,0.0012310007996458,0.9655172413793104,0.7458698539828915,-0.1098236936982094,False,14
9,5,10,45,0.6341463414634148,0.8240428163590194,0.0949482374478023,0.878048780487805,0.5886020116850139,-0.1447233844013955,False,15
9,10,3,3,0.816496580927726,0.816496580927726,0.0,1.0,0.3333333333333333,-0.3333333333333333,False,16
10,1,11,55,0.6859943405700353,0.6238794669049377,-0.0310574368325488,0.8193821290142088,0.4770842982214229,-0.1711489153963929,False,17
10,2,11,55,0.6735753140545634,0.5720775535473553,-0.050748880253604,0.8703703703703703,0.3302891295379082,-0.2700406204162311,False,18
10,3,10,45,0.8198127976897006,0.7956600627155523,-0.0120763674870741,0.9644856443408244,0.6137949055234262,-0.175345369408699,False,19
10,7,6,15,0.8894991799933215,0.8280786712108251,-0.0307102543912481,0.667124384994991,0.966091783079296,0.1494836990421524,False,20
11,5,8,28,0.510688230856951,0.3857583749052298,-0.0624649279758606,0.6910233190806424,0.1428571428571428,-0.2740830881117497,False,21
11,6,7,21,0.2646280620124816,0.2646280620124816,0.0,0.2927700218845599,0.1951800145897066,-0.0487950036474266,False,22
13,2,11,55,0.5663793758439145,0.4861724348043977,-0.0401034705197583,0.7084871015612021,0.3659942110514743,-0.1712464452548639,False,23
13,3,10,45,0.557364051131954,0.5354632267566766,-0.0109504121876387,0.7916331135924696,0.2955308804372051,-0.2480511165776322,False,24
13,4,9,36,0.8067793113007156,0.8733260632194672,0.0332733759593757,0.8838834764831843,0.7777777777777778,-0.0530528493527032,False,25
14,9,4,6,0.1825741858350553,0.1825741858350553,0.0,0.0,0.3333333333333334,0.1666666666666667,False,26
17,1,12,66,0.7200230411059789,0.6358308771056217,-0.0420960820001786,0.9842509842514764,0.338501600193165,-0.3228746920291557,False,27
17,5,9,36,0.2951216261027788,0.1825741858350553,-0.0562737201338617,0.4250237185032414,0.0281718084909505,-0.1984259550061454,False,28
17,6,8,28,0.2964997266644404,0.4447495899966607,0.0741249316661101,0.8693182879212226,-0.1889822365046136,-0.529150262212918,False,29
18,3,9,36,0.7097954098256228,0.6479515952918627,-0.03092190726688,0.9258200997725516,0.4225771273642583,-0.2516214862041466,False,30
19,5,9,36,0.6872564503672763,0.5892556509887895,-0.0490003996892434,0.9142857142857144,0.3098898934004561,-0.3021979104426291,False,31
19,6,9,36,0.6931032800836721,0.7377253439645218,0.0223110319404248,0.8406680016960502,0.4225771273642583,-0.2090454371658959,False,32
19,11,4,6,0.8164965809277261,0.8164965809277261,0.0,1.0,0.3333333333333334,-0.3333333333333332,False,33
20,2,12,66,0.4878257549330544,0.5940401295066863,0.0531071872868159,0.6953148605119682,0.3940062612820493,-0.1506542996149594,False,34
20,4,10,45,0.5057805388588732,0.6292532049656926,0.0617363330534097,0.8276408817690653,0.3146266024828463,-0.2565071396431094,False,35
20,9,4,6,0.3999999999999999,0.1825741858350553,-0.1087129070824722,0.1825741858350553,0.3333333333333334,0.075379573749139,False,36
21,3,10,45,0.7674418604651163,0.7047274841194893,-0.0313571881728135,0.9775252199076786,0.4666666666666666,-0.2554292766205059,False,37
21,7,8,28,0.510688230856951,0.3273268353539885,-0.0916806977514812,0.2749859704614352,0.5455447255899809,0.1352793775642728,False,38
21,8,7,21,0.7181848464596078,0.5506887917539347,-0.0837480273528365,0.7807200583588265,0.4285714285714286,-0.1760743148936989,False,39
22,5,9,36,0.6473388749701496,0.7833494518006403,0.0680052884152453,0.9296696802013682,0.4444444444444444,-0.2426126178784619,False,40
22,7,8,28,0.7795794428691073,0.836501912571304,0.0284612348510983,0.7526178090063818,0.8153742483272113,0.0313782196604147,False,41
22,8,6,15,0.5929994533288809,0.3580574370197165,-0.1174710081545822,0.5400617248673217,0.4472135954999579,-0.0464240646836819,False,42
23,1,13,78,0.7923925812916239,0.7354991780818254,-0.0284467016048992,0.9733285267845752,0.5455005501394375,-0.2139139883225688,False,43
23,8,7,21,0.7499999999999999,0.7807200583588265,0.0153600291794133,0.8720815992723808,0.6508140266182865,-0.1106337863270471,False,44
23,10,5,10,0.4444444444444444,0.3162277660168379,-0.0641083392138032,0.3162277660168379,0.3999999999999999,0.041886116991581,False,45
23,11,4,6,0.5477225575051662,0.5477225575051662,0.0,1.0,0.0,-0.5,False,46
24,7,7,21,0.6499999999999999,0.5855400437691199,-0.0322299781154399,0.4499999999999999,0.7807200583588265,0.1653600291794132,False,47
26,1,10,45,0.8606978946185856,0.8989331499509894,0.0191176276662018,0.8839599998785473,0.8539864924534399,-0.0149867537125537,False,48
26,3,6,15,0.8280786712108251,0.8666666666666666,0.0192939977279207,0.966091783079296,0.7333333333333333,-0.1163792248729813,False,49
26,4,3,3,0.816496580927726,0.816496580927726,0.0,1.0,0.3333333333333333,-0.3333333333333333,False,50
27,4,10,45,0.4048766819951098,0.3957771676027609,-0.0045497571961744,0.5813953488372093,0.204598301841142,-0.1883985234980336,False,51
27,5,9,36,0.5636018619766344,0.5477225575051661,-0.0079396522357341,0.6859943405700353,0.3333333333333333,-0.1763305036183509,False,52
28,1,12,66,0.4444444444444444,0.4497340350259275,0.0026447952907415,0.8438530156892918,0.0458028612414344,-0.3990250772239287,False,53
28,2,12,66,0.6334213146261567,0.5929304449793936,-0.0202454348233815,0.8322397195638239,0.338501600193165,-0.2468690596853294,False,54
