season,week,celebrity_name,judge_percent,judge_rank,fan_vote_percent,fan_vote_rank,total_percent,total_rank,is_eliminated_this_week_percent,is_eliminated_this_week_rank
1,6,Kelly Monaco,0.505,1,0.5,2,1.005,3,0,1
1,6,John O'Hurley,0.495,2,0.5,1,0.995,3,1,0
2,4,Drew Lachey,0.177,1,0.154,2,0.331,3,0,0
2,4,Lisa Rinna,0.165,2,0.136,5,0.301,7,0,0
2,4,Stacy Keibler,0.165,2,0.154,3,0.319,5,0,0
2,4,Tia Carrere,0.158,4,0.126,7,0.284,11,0,0
2,4,Jerry Rice,0.152,5,0.154,1,0.306,6,0,0
2,4,George Hamilton,0.133,6,0.132,6,0.265,12,0,1
2,4,Master P,0.051,7,0.146,4,0.197,11,1,0
3,3,Monique Coleman,0.13,1,0.115,4,0.245,5,0,0
3,3,Vivica A. Fox,0.13,1,0.099,9,0.229,10,0,0
3,3,Sara Evans,0.121,3,0.109,6,0.23,9,0,0
3,3,Harry Hamlin,0.106,4,0.099,8,0.205,12,1,0
3,3,Joey Lawrence,0.106,4,0.116,3,0.222,7,0,0
3,3,Mario Lopez,0.106,4,0.123,1,0.229,5,0,0
3,3,Willa Ford,0.106,4,0.104,7,0.21,11,0,0
3,3,Jerry Springer,0.101,8,0.114,5,0.215,13,0,1
3,3,Emmitt Smith,0.092,9,0.123,2,0.215,11,0,0
3,4,Mario Lopez,0.146,1,0.144,1,0.29,2,0,0
3,4,Willa Ford,0.141,2,0.108,7,0.249,9,0,0
3,4,Joey Lawrence,0.136,3,0.131,3,0.267,6,0,0
3,4,Emmitt Smith,0.121,4,0.144,2,0.265,6,0,0
3,4,Monique Coleman,0.121,4,0.129,4,0.25,8,0,0
3,4,Vivica A. Fox,0.121,4,0.098,8,0.219,12,1,0
3,4,Jerry Springer,0.111,7,0.127,5,0.238,12,0,0
3,4,Sara Evans,0.101,8,0.118,6,0.219,14,0,1
4,1,Joey Fatone,0.117,1,0.093,4,0.21,5,0,0
4,1,Laila Ali,0.112,2,0.093,3,0.205,5,0,0
4,1,Apolo Anton Ohno,0.102,3,0.093,2,0.195,5,0,0
4,1,Ian Ziering,0.102,3,0.092,6,0.194,9,0,0
4,1,Paulina Porizkova,0.092,5,0.084,11,0.176,16,0,0
4,1,Shandi Finnessey,0.092,5,0.087,10,0.179,15,0,0
4,1,Heather Mills,0.087,7,0.091,8,0.178,15,0,0
4,1,John Ratzenberger,0.083,8,0.092,7,0.175,15,0,0
4,1,Clyde Drexler,0.078,9,0.093,1,0.171,10,0,0
4,1,Leeza Gibbons,0.073,10,0.09,9,0.163,19,0,1
4,1,Billy Ray Cyrus,0.063,11,0.092,5,0.155,16,1,0
4,2,Laila Ali,0.11,1,0.094,3,0.204,4,0,0
4,2,Apolo Anton Ohno,0.106,2,0.094,2,0.2,4,0,0
4,2,Heather Mills,0.098,3,0.091,8,0.189,11,0,0
4,2,Joey Fatone,0.098,3,0.094,4,0.192,7,0,0
