season,celebrity_name,placement_sim,eliminated_week_sim,method,use_bottom2,tag
2,Jerry Rice,3,8,percent,False,percent
2,Jerry Rice,4,7,percent,True,percent_bottom2
2,Jerry Rice,2,8,rank,False,rank
2,Jerry Rice,4,7,rank,True,rank_bottom2
4,Billy Ray Cyrus,5,8,percent,False,percent
4,Billy Ray Cyrus,8,5,percent,True,percent_bottom2
4,Billy Ray Cyrus,5,8,rank,False,rank
4,Billy Ray Cyrus,6,7,rank,True,rank_bottom2
11,Bristol Palin,3,10,percent,False,percent
11,Bristol Palin,4,9,percent,True,percent_bottom2
11,Bristol Palin,2,10,rank,False,rank
11,Bristol Palin,2,10,rank,True,rank_bottom2
17,Bill Engvall,4,11,percent,False,percent
17,Bill Engvall,6,9,percent,True,percent_bottom2
17,Bill Engvall,2,11,rank,False,rank
17,Bill Engvall,2,11,rank,True,rank_bottom2
27,Bobby Bones,4,9,percent,False,percent
27,Bobby Bones,5,8,percent,True,percent_bottom2
27,Bobby Bones,4,9,rank,False,rank
27,Bobby Bones,5,8,rank,True,rank_bottom2
29,Nelly,4,11,percent,False,percent
29,Nelly,4,11,percent,True,percent_bottom2
29,Nelly,3,11,rank,False,rank
29,Nelly,5,10,rank,True,rank_bottom2
