season,celebrity_name,placement_sim,eliminated_week_sim,method,use_bottom2
27,Evanna Lynch,1,9,percent,False
27,Milo Manheim,2,9,percent,False
27,Alexis Ren,3,9,percent,False
27,Bobby Bones,4,9,percent,False
27,Juan Pablo Di Pace,5,8,percent,False
27,John Schneider,6,8,percent,False
27,DeMarcus Ware,7,7,percent,False
27,Mary Lou Retton,8,7,percent,False
27,Tinashe,9,6,percent,False
27,Nancy McKeon,10,4,percent,False
27,Danelle Umstead,11,3,percent,False
27,Nikki Glaser,12,2,percent,False
27,Joe Amabile,13,1,percent,False
