season,celebrity_name,placement_sim,eliminated_week_sim,method,use_bottom2
29,Justina Machado,1,11,percent,True
29,Kaitlyn Bristowe,2,11,percent,True
29,Nev Schulman,3,11,percent,True
29,Nelly,4,11,percent,True
29,Johnny Weir,5,10,percent,True
29,Chrishell Stause,6,10,percent,True
29,AJ McLean,7,9,percent,True
29,Jeannie Mai,8,8,percent,True
29,Monica Aldama,9,7,percent,True
29,Veron Davis,10,7,percent,True
29,Skai Jackson,11,6,percent,True
29,Jesse Metcalfe,12,5,percent,True
29,Anne Heche,13,4,percent,True
29,Carole Baskin,14,3,percent,True
29,Charles Oakley,15,2,percent,True
