season,celebrity_name,placement_sim,eliminated_week_sim,method,use_bottom2
29,Justina Machado,1,11,rank,True
29,Kaitlyn Bristowe,2,11,rank,True
29,Nev Schulman,3,11,rank,True
29,Johnny Weir,4,11,rank,True
29,Nelly,5,10,rank,True
29,Skai Jackson,6,10,rank,True
29,AJ McLean,7,9,rank,True
29,Jeannie Mai,8,8,rank,True
29,Monica Aldama,9,7,rank,True
29,Veron Davis,10,7,rank,True
29,Anne Heche,11,6,rank,True
29,Chrishell Stause,12,5,rank,True
29,Jesse Metcalfe,13,4,rank,True
29,Carole Baskin,14,3,rank,True
29,Charles Oakley,15,2,rank,True
