season,week,celebrity_name,observed_in_data,judge_percent_sim,fan_vote_percent_sim,judge_rank_sim,fan_vote_rank_sim,combined_percent_sim,combined_rank_sum_sim,overall_rank_sim,tag
2,1,Jerry Rice,1,0.1078921078921079,0.1058941058941059,5,3,0.21378621378621382,8,3,percent
2,2,Jerry Rice,1,0.11500000000000002,0.11799999999999998,4,3,0.23299999999999998,7,3,percent
2,3,Jerry Rice,1,0.1041041041041041,0.13386613386613386,7,3,0.23797023797023797,10,6,percent
2,4,Jerry Rice,1,0.15184815184815187,0.1536926147704591,5,2,0.30554076661861096,7,3,percent
2,5,Jerry Rice,1,0.15184815184815184,0.18699999999999997,5,2,0.3388481518481518,7,3,percent
2,6,Jerry Rice,1,0.1728271728271728,0.22522522522522523,5,2,0.398052398052398,7,3,percent
2,7,Jerry Rice,1,0.2007992007992008,0.27372627372627373,4,2,0.47452547452547456,6,3,percent
2,8,Jerry Rice,1,0.316,0.3333333333333333,3,2,0.6493333333333333,5,3,percent
2,1,Jerry Rice,1,0.1078921078921079,0.1058941058941059,5,3,0.21378621378621382,8,2,rank
2,2,Jerry Rice,1,0.11500000000000002,0.11799999999999998,4,3,0.23299999999999998,7,3,rank
2,3,Jerry Rice,1,0.1041041041041041,0.13386613386613386,7,3,0.23797023797023797,10,5,rank
2,4,Jerry Rice,1,0.15184815184815187,0.1536926147704591,5,2,0.30554076661861096,7,3,rank
2,5,Jerry Rice,1,0.16915236234552408,0.18423171969193483,4,2,0.3533840820374589,6,3,rank
2,6,Jerry Rice,1,0.19381464824073996,0.218669779238306,4,2,0.41248442747904596,6,3,rank
2,7,Jerry Rice,1,0.2007992007992008,0.27372627372627373,4,2,0.47452547452547456,6,3,rank
2,8,Jerry Rice,1,0.316,0.3333333333333333,3,2,0.6493333333333333,5,2,rank
2,1,Jerry Rice,1,0.1078921078921079,0.1058941058941059,5,3,0.21378621378621382,8,3,percent_bottom2
2,2,Jerry Rice,1,0.11606621371464289,0.12320138854661734,4,2,0.23926760226126023,6,3,percent_bottom2
2,3,Jerry Rice,1,0.10266927136465645,0.14137960376792005,7,2,0.2440488751325765,9,6,percent_bottom2
2,4,Jerry Rice,1,0.1405401534512086,0.16445140807557718,5,2,0.30499156152678575,7,3,percent_bottom2
2,5,Jerry Rice,1,0.15184815184815184,0.18699999999999997,5,2,0.3388481518481518,7,3,percent_bottom2
2,6,Jerry Rice,1,0.1728271728271728,0.22522522522522523,5,2,0.398052398052398,7,3,percent_bottom2
2,7,Jerry Rice,1,0.2007992007992008,0.27372627372627373,4,2,0.47452547452547456,6,3,percent_bottom2
2,1,Jerry Rice,1,0.1078921078921079,0.1058941058941059,5,3,0.21378621378621382,8,2,rank_bottom2
2,2,Jerry Rice,1,0.11500000000000002,0.11799999999999998,4,3,0.23299999999999998,7,3,rank_bottom2
2,3,Jerry Rice,1,0.1041041041041041,0.13386613386613386,7,3,0.23797023797023797,10,5,rank_bottom2
2,4,Jerry Rice,1,0.15184815184815187,0.1536926147704591,5,2,0.30554076661861096,7,3,rank_bottom2
2,5,Jerry Rice,1,0.16915236234552408,0.18423171969193483,4,2,0.3533840820374589,6,3,rank_bottom2
2,6,Jerry Rice,1,0.17392958489909238,0.2249140564282517,4,2,0.39884364132734407,6,3,rank_bottom2
