term,coef_judges,se_judges,p_judges,coef_fans,se_fans,p_fans,coef_diff_fans_minus_judges,abs_diff,se_diff_approx,z_diff_approx
season_30,-1.0515311672391365,0.1393714095803276,4.529383303809798e-14,-1.277417266925888,0.14082958503566245,1.1829837863229627e-19,-0.22588609968675155,0.22588609968675155,0.19813470627258697,-1.1400632626975769
season_21,-1.0723843727348936,0.14324375336928313,7.077211185179167e-14,-0.8954513592520087,0.13587763442448658,4.394397888331672e-11,0.17693301348288493,0.17693301348288493,0.19743734301320617,0.8961476627602826
season_26,-0.5989455352650153,0.14424462033995902,3.291643598121486e-05,-0.7684285737484516,0.14312290152753457,7.91691584662125e-08,-0.16948303848343638,0.16948303848343638,0.20320107145061828,-0.8340656733427904
industry_grp_Model,-0.1545809357817237,0.09225624974740744,0.09382429468790233,-0.31859163494261045,0.09274977545443172,0.0005926444527253188,-0.16401069916088676,0.16401069916088676,0.1308194804465433,-1.2537177077989266
season_18,-0.9772669209957812,0.14575588840277567,2.0165549184736107e-11,-0.8285227995010684,0.13823654196820503,2.053531071131388e-09,0.14874412149471272,0.14874412149471272,0.2008833505779155,0.7404502218167661
season_16,-0.9853486051381652,0.14294131698462073,5.448264476002271e-12,-0.8415002069339244,0.13692152295169,7.953252309293798e-10,0.1438483982042409,0.1438483982042409,0.19793868633672396,0.7267321051102299
ProStrength,0.4700341543030012,0.22834649557188602,0.03954934589598637,0.33424760143668725,0.21885376661938988,0.1266952384819407,-0.13578655286631397,0.13578655286631397,0.3162895717589433,-0.4293108751931987
season_28,-0.9427395962938029,0.1442598313207302,6.360483172926913e-11,-0.8105159649404933,0.13667251492771318,3.0228806264633793e-09,0.1322236313533096,0.1322236313533096,0.19872160242246314,0.6653712014268827
season_7,-0.9429336056702838,0.14092520556876983,2.216178248557827e-11,-0.8234742566122945,0.13426553323385235,8.614131051605595e-10,0.11945934905798938,0.11945934905798938,0.19464620977345215,0.6137255341217668
season_3,-0.7114974284544828,0.13878187954738258,2.9481554827171566e-07,-0.6038882963760445,0.13335048050559675,5.93814464365454e-06,0.10760913207843836,0.10760913207843836,0.19246495977652073,0.5591102515667679
season_9,-1.1098321966874316,0.13743591393789278,6.732716384607794e-16,-1.0063453602893568,0.13182378656832508,2.2754543332906673e-14,0.10348683639807477,0.10348683639807477,0.19043671165286172,0.5434185220899851
Intercept,-1.67040369587449,0.17254401592692656,3.6304184370050184e-22,-1.5711538344056952,0.16677804073723462,4.483992087191322e-21,0.09924986146879466,0.09924986146879466,0.23997156561630834,0.4135900902004604
industry_grp_Performer,0.10073933568383789,0.0427852140397997,0.01854583673628636,0.007061807414366132,0.040911894150097626,0.8629578879398142,-0.09367752826947176,0.09367752826947176,0.05919761501429146,-1.5824544324438776
age_z,-0.19016126353248208,0.01875774719506332,3.756701440664651e-24,-0.11836744201496611,0.01803202029354204,5.2280752882195413e-11,0.07179382151751597,0.07179382151751597,0.026019355020842037,2.7592467784081367
US,-0.06013096906580209,0.04811201348949549,0.21136825224951095,0.006404914581834174,0.047167063156323345,0.8919856360796933,0.06653588364763627,0.06653588364763627,0.0673757945319088,0.9875339372231855
precision,4.569815496830853,0.06901781052610792,0.0,4.630401562818133,0.06899173918692855,0.0,0.060586065987280335,0.060586065987280335,0.09758749021188579,0.6208384482041037
season_5,-0.7752809023094198,0.13944646616148812,2.7023449197274156e-08,-0.7164668673403499,0.13531744621339284,1.1920431416841853e-07,0.058814034969069895,0.058814034969069895,0.19430936203549615,0.30268245622836143
season_33,-0.8002881168350948,0.1383510822668571,7.273995155727491e-09,-0.8544646192685058,0.13496898288998796,2.438583851256534e-10,-0.05417650243341099,0.05417650243341099,0.19328126734572218,-0.280298774823871
season_17,-0.8729518250135251,0.14176227258817564,7.373581497338232e-10,-0.8263621158988014,0.1373945459586725,1.8042153539144192e-09,0.04658970911472371,0.04658970911472371,0.19741783908389332,0.2359954365366408
