celebrity_name,_season_raw,y_judges,y_fans,US,ProStrength,ProCount,age_z,age_z2,industry_grp_Media,industry_grp_Model,industry_grp_Other,industry_grp_Performer,season_2,season_3,season_4,season_5,season_6,season_7,season_8,season_9,season_10,season_11,season_12,season_13,season_14,season_15,season_16,season_17,season_18,season_19,season_20,season_21,season_22,season_23,season_24,season_25,season_26,season_27,season_28,season_29,season_30,season_31,season_32,season_33,season_34,Intercept
John O'Hurley,1,0.2863856822050215,0.29,1,0.6774310804002015,0,0.8156117126381557,0.6652224657925454,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Kelly Monaco,1,0.2611647983660485,0.29,1,0.5207950446667786,4,-0.7117814564857452,0.5066328417969688,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Evander Holyfield,1,0.1344938678172348,0.178,1,0.6049012692243095,10,0.233747648210003,0.05463796304370731,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Rachel Hunter,1,0.22471387381820845,0.142,0,0.5312703258017445,6,-0.27538340816463064,0.07583602149236755,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Joey McIntyre,1,0.18169960163028553,0.239,1,0.560894425250126,3,-0.49358243232518795,0.24362361750004874,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Trista Sutter,1,0.16108120403366444,0.109,1,0.6538406631637035,10,-0.49358243232518795,0.24362361750004874,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Tatum O'Neal,2,0.10147435897435897,0.095,1,0.6311925670001679,1,0.233747648210003,0.05463796304370731,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Tia Carrere,2,0.13186889155218437,0.119,1,0.7478732009610869,16,0.015548624049445712,0.00024175970983100157,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
George Hamilton,2,0.13132848896165625,0.128,1,0.5882346025576429,10,1.9793398414944612,3.917786208127319,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Lisa Rinna,2,0.1611042644423937,0.14,1,0.6177295520525924,10,0.233747648210003,0.05463796304370731,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Stacy Keibler,2,0.20056213646976578,0.191,1,0.6183953069891313,20,-0.9299804806463025,0.8648636943831277,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Jerry Rice,2,0.16517795223782086,0.191,1,0.5300527843758247,10,0.3064806562635221,0.09393039266371919,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Giselle Fernandez,2,0.1196092796092796,0.081,0,0.557785477316896,6,0.3792136643170412,0.14380300320475758,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Master P,2,0.06727361246348589,0.137,1,0.623394425250126,3,-0.27538340816463064,0.07583602149236755,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Drew Lachey,2,0.20018704680181557,0.191,1,0.788202154231313,24,-0.7117814564857452,0.5066328417969688,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Kenny Mayne,2,0.06666666666666667,0.084,1,0.6774310804002015,0,0.5246796804240793,0.275288767049914,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Harry Hamlin,3,0.0925910734360283,0.094,1,0.6483944252501259,3,1.1065437448522322,1.224439059271602,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Vivica A. Fox,3,0.11494207870335844,0.095,1,0.6061925670001679,1,0.233747648210003,0.05463796304370731,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Monique Coleman,3,0.1551898518252108,0.139,1,0.6227295520525924,10,-1.0027134886998217,1.0054343404205675,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Joey Lawrence,3,0.1601449633828269,0.151,1,0.5715679358909762,10,-0.6390484484322261,0.40838291944363553,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Mario Lopez,3,0.21553587339218608,0.234,1,0.6320607827355829,17,-0.49358243232518795,0.24362361750004874,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Emmitt Smith,3,0.20837414780431018,0.234,1,0.788202154231313,24,-0.12991739205759248,0.016878528759046194,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Shanna Moakler,3,0.09027891714520098,0.088,1,0.6774310804002015,0,-0.5663154403787071,0.3207131780113289,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Willa Ford,3,0.12012783805494975,0.101,1,0.7538255819134678,16,-1.0027134886998217,1.0054343404205675,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Sara Evans,3,0.051643879776009635,0.106,1,0.6183953069891313,20,-0.27538340816463064,0.07583602149236755,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Jerry Springer,3,0.1180214583676301,0.129,0,0.6634278253636924,13,1.688407809280385,2.8507209304389884,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Tucker Carlson,3,0.05660377358490566,0.079,1,0.6478592336668346,1,-0.12991739205759248,0.016878528759046194,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
John Ratzenberger,4,0.10055152917957653,0.112,1,0.5915679358909762,10,1.4702087851198276,2.1615138718435194,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Ian Ziering,4,0.1458243690501048,0.129,1,0.791650430093382,24,0.233747648210003,0.05463796304370731,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Clyde Drexler,4,0.07546895817305128,0.103,1,0.5811925670001679,1,0.3792136643170412,0.14380300320475758,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Laila Ali,4,0.1735951827353735,0.172,1,0.7300160581039441,16,-0.7117814564857452,0.5066328417969688,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
